id_inquilino,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17
1895,noche,madrugador,universitaria,si,no,no,con mascotas,cocinar,no,no,no,no,ordenada,rock,si,salir,no
1896,noche,madrugador,primaria,no,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,rock,si,casa,no
1897,noche,madrugador,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
1898,mañana,madrugador,secundaria,si,si,si,sin mascotas,pedir comida,no,si,no,no,relajada,pop,no,casa,no
1899,noche,nocturno,secundaria,si,si,si,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,no,salir,si
1900,mañana,nocturno,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,clasica,no,casa,no
1901,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,clasica,si,salir,si
1902,mañana,nocturno,primaria,no,no,si,con mascotas,pedir comida,no,no,no,no,ordenada,rock,no,salir,no
1903,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,rock,si,salir,si
1904,mañana,madrugador,primaria,si,no,no,sin mascotas,pedir comida,si,si,no,no,relajada,pop,no,salir,no
1905,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,no,no,no,relajada,reggaeton,si,salir,si
1906,noche,nocturno,universitaria,no,si,no,con mascotas,cocinar,si,si,no,si,relajada,rock,si,salir,si
1907,mañana,madrugador,universitaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
1908,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,no
1909,noche,nocturno,primaria,no,no,no,con mascotas,pedir comida,si,no,no,si,ordenada,reggaeton,no,salir,si
1910,noche,nocturno,primaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,no
1911,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,no,si,relajada,clasica,si,salir,si
1912,noche,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,si,si,no,ordenada,rock,no,casa,si
1913,noche,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,si,ordenada,reggaeton,no,casa,no
1914,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,salir,si
1915,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,no,si,relajada,reggaeton,si,casa,si
1916,noche,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,casa,si
1917,noche,nocturno,secundaria,si,si,no,con mascotas,cocinar,si,no,si,si,relajada,reggaeton,si,salir,si
1918,mañana,madrugador,secundaria,si,no,si,con mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
1919,mañana,madrugador,universitaria,no,si,si,con mascotas,cocinar,si,si,si,si,ordenada,clasica,si,casa,no
1920,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,casa,si
1921,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,no,salir,si
1922,mañana,nocturno,universitaria,no,no,no,con mascotas,cocinar,no,si,si,si,relajada,clasica,no,salir,si
1923,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,pop,si,salir,no
1924,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,rock,no,salir,no
1925,noche,nocturno,primaria,no,si,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,si,salir,si
1926,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,si,no,relajada,pop,si,casa,no
1927,noche,nocturno,secundaria,no,no,si,con mascotas,pedir comida,si,no,no,si,relajada,reggaeton,si,salir,no
1928,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,no,ordenada,rock,no,casa,no
1929,noche,nocturno,secundaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
1930,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,no
1931,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,ordenada,pop,no,casa,no
1932,noche,madrugador,secundaria,no,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,reggaeton,no,casa,no
1933,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,casa,no
1934,noche,nocturno,universitaria,no,si,si,sin mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,salir,si
1935,mañana,madrugador,universitaria,no,no,si,con mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,no
1936,mañana,nocturno,universitaria,si,no,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
1937,noche,nocturno,universitaria,no,no,no,sin mascotas,pedir comida,si,no,si,si,relajada,clasica,no,salir,si
1938,mañana,nocturno,universitaria,si,si,si,con mascotas,cocinar,no,no,si,no,ordenada,pop,no,casa,no
1939,mañana,madrugador,primaria,si,no,si,sin mascotas,pedir comida,no,no,si,no,ordenada,rock,no,casa,no
1940,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,no,relajada,clasica,si,salir,si
1941,noche,nocturno,universitaria,no,no,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,si,salir,si
1942,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,salir,si
1943,mañana,madrugador,secundaria,si,no,si,con mascotas,cocinar,si,no,no,si,relajada,rock,no,casa,no
1944,noche,madrugador,primaria,no,no,si,con mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
1945,mañana,madrugador,secundaria,no,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
1946,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,salir,no
1947,noche,madrugador,universitaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,casa,si
1948,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,no,salir,no
1949,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,no,relajada,rock,si,salir,si
1950,mañana,nocturno,universitaria,si,si,no,sin mascotas,pedir comida,no,si,no,no,ordenada,pop,no,salir,si
1951,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
1952,mañana,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,si,no,no,relajada,reggaeton,si,casa,si
1953,noche,nocturno,primaria,si,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
1954,mañana,madrugador,universitaria,si,si,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
1955,mañana,madrugador,universitaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
1956,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
1957,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,rock,no,casa,no
1958,noche,nocturno,universitaria,no,si,si,con mascotas,cocinar,no,si,si,no,relajada,clasica,si,salir,si
1959,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,casa,si
1960,mañana,nocturno,universitaria,si,no,si,sin mascotas,cocinar,si,no,si,no,relajada,pop,no,salir,no
1961,noche,nocturno,universitaria,no,no,si,con mascotas,cocinar,no,si,no,si,relajada,clasica,no,salir,si
1962,mañana,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
1963,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,no,si,si,si,relajada,clasica,si,casa,si
1964,mañana,nocturno,secundaria,si,no,si,con mascotas,cocinar,no,si,no,si,relajada,rock,si,casa,no
1965,noche,madrugador,universitaria,no,si,si,sin mascotas,pedir comida,si,si,si,si,ordenada,clasica,no,salir,no
1966,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,si,ordenada,rock,no,casa,no
1967,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,si,salir,no
1968,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
1969,noche,nocturno,secundaria,no,si,no,sin mascotas,cocinar,si,no,no,si,relajada,reggaeton,si,salir,si
1970,mañana,madrugador,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
1971,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,relajada,pop,si,casa,no
1972,mañana,madrugador,universitaria,si,no,si,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
1973,noche,madrugador,primaria,si,si,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,si,salir,no
1974,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,clasica,no,salir,no
1975,mañana,madrugador,primaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,relajada,rock,no,casa,no
1976,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,si,si,no,si,relajada,pop,si,salir,si
1977,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,casa,no
1978,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,si,ordenada,rock,no,casa,no
1979,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,pop,no,salir,si
1980,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,pop,si,casa,no
1981,mañana,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,salir,no
1982,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,si,no,no,relajada,rock,no,casa,no
1983,mañana,nocturno,universitaria,si,no,si,con mascotas,pedir comida,no,no,si,no,ordenada,pop,no,casa,si
1984,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,no,no,no,relajada,reggaeton,no,casa,si
1985,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,no
1986,mañana,nocturno,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,si,salir,si
1987,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,casa,si
1988,noche,nocturno,secundaria,si,no,si,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,si,salir,si
1989,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,ordenada,clasica,no,salir,si
1990,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,si,no,no,ordenada,pop,no,casa,no
1991,mañana,madrugador,primaria,si,no,si,con mascotas,pedir comida,si,no,no,no,ordenada,pop,no,casa,no
1992,mañana,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,no,no,si,ordenada,pop,si,casa,no
1993,noche,nocturno,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,si,salir,si
1994,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,no,si,no,ordenada,rock,no,casa,no
1995,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,salir,si
1996,mañana,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,si,si,no,relajada,clasica,si,salir,si
1997,noche,madrugador,primaria,si,si,si,sin mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
1998,noche,nocturno,universitaria,si,no,no,sin mascotas,cocinar,no,si,no,no,ordenada,rock,no,salir,no
1999,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,pop,no,casa,no
2000,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
2001,noche,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
2002,noche,madrugador,secundaria,si,si,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,no,salir,si
2003,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,si,salir,si
2004,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,no,no,si,ordenada,pop,si,casa,no
2005,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,no,relajada,clasica,si,salir,si
2006,noche,nocturno,secundaria,no,si,si,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,salir,si
2007,mañana,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,no,si,si,relajada,clasica,si,salir,si
2008,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,no,no,si,no,ordenada,pop,no,casa,no
2009,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,si,ordenada,pop,no,casa,no
2010,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,si,salir,si
2011,noche,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,rock,si,casa,no
2012,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,clasica,no,salir,no
2013,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,rock,no,casa,no
2014,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
2015,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,no,relajada,pop,no,casa,no
2016,noche,nocturno,universitaria,no,si,no,con mascotas,cocinar,si,si,no,si,relajada,clasica,si,salir,si
2017,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,casa,si
2018,noche,madrugador,secundaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2019,mañana,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,no,ordenada,clasica,si,casa,si
2020,noche,madrugador,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2021,noche,madrugador,universitaria,no,si,si,con mascotas,pedir comida,no,si,si,no,relajada,pop,si,salir,si
2022,mañana,madrugador,primaria,si,si,si,sin mascotas,pedir comida,no,si,no,no,ordenada,rock,no,casa,no
2023,noche,madrugador,universitaria,no,si,si,con mascotas,cocinar,si,si,si,si,relajada,clasica,si,salir,si
2024,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,si,relajada,pop,no,casa,no
2025,mañana,madrugador,primaria,si,si,si,sin mascotas,cocinar,no,si,no,no,ordenada,rock,no,casa,no
2026,noche,madrugador,secundaria,no,si,si,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,no,salir,si
2027,noche,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,casa,si
2028,mañana,madrugador,primaria,si,no,no,con mascotas,cocinar,no,no,si,si,relajada,rock,no,salir,si
2029,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,no,relajada,pop,no,casa,no
2030,mañana,nocturno,primaria,si,no,si,sin mascotas,pedir comida,si,si,no,si,ordenada,rock,si,casa,no
2031,mañana,nocturno,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,relajada,pop,no,casa,no
2032,noche,nocturno,secundaria,si,no,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,si,casa,si
2033,mañana,madrugador,secundaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
2034,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,relajada,pop,no,casa,no
2035,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,si,relajada,pop,no,casa,si
2036,noche,madrugador,secundaria,si,si,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,salir,si
2037,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,casa,si
2038,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
2039,mañana,madrugador,primaria,si,no,no,sin mascotas,cocinar,si,no,no,si,ordenada,rock,no,casa,no
2040,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
2041,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
2042,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,si,salir,si
2043,mañana,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,pop,no,salir,si
2044,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
2045,noche,nocturno,secundaria,no,no,si,con mascotas,pedir comida,si,no,no,si,relajada,reggaeton,si,salir,no
2046,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
2047,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,salir,si
2048,noche,nocturno,secundaria,no,si,si,sin mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2049,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,no,si,relajada,rock,si,salir,si
2050,noche,nocturno,secundaria,no,si,no,con mascotas,cocinar,si,no,si,no,relajada,clasica,si,salir,si
2051,mañana,madrugador,universitaria,si,si,no,sin mascotas,cocinar,si,no,si,no,ordenada,pop,no,casa,no
2052,noche,madrugador,universitaria,no,no,si,con mascotas,cocinar,si,si,si,si,ordenada,clasica,si,casa,si
2053,mañana,nocturno,universitaria,no,no,no,sin mascotas,pedir comida,no,no,no,no,relajada,pop,no,casa,no
2054,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,salir,no
2055,noche,nocturno,secundaria,no,no,no,sin mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,casa,si
2056,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,reggaeton,si,salir,si
2057,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,relajada,pop,no,salir,no
2058,mañana,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,no,relajada,reggaeton,si,casa,no
2059,mañana,madrugador,secundaria,si,si,si,con mascotas,cocinar,no,no,no,no,ordenada,clasica,no,salir,no
2060,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,si,relajada,pop,si,salir,si
2061,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,rock,no,casa,no
2062,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,si,no,no,relajada,rock,no,salir,no
2063,noche,nocturno,secundaria,si,no,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
2064,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,relajada,rock,no,casa,no
2065,mañana,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,si,no,si,ordenada,reggaeton,si,salir,si
2066,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2067,noche,madrugador,primaria,si,no,si,sin mascotas,pedir comida,no,no,no,si,ordenada,rock,si,salir,no
2068,noche,nocturno,secundaria,si,no,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
2069,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,si,no,si,no,ordenada,rock,si,salir,si
2070,mañana,madrugador,secundaria,si,si,si,con mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
2071,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
2072,mañana,nocturno,secundaria,si,no,si,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
2073,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,casa,no
2074,mañana,madrugador,primaria,no,no,si,sin mascotas,cocinar,si,no,si,no,ordenada,rock,no,casa,si
2075,mañana,madrugador,secundaria,no,si,no,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,salir,no
2076,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,si,no,no,si,relajada,reggaeton,si,salir,no
2077,noche,madrugador,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
2078,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,no,si,no,ordenada,pop,no,casa,no
2079,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,salir,si
2080,mañana,nocturno,secundaria,no,no,si,sin mascotas,cocinar,no,no,no,no,relajada,rock,si,casa,no
2081,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
2082,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,rock,no,casa,no
2083,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,rock,si,casa,no
2084,noche,madrugador,universitaria,si,si,si,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,si
2085,mañana,madrugador,universitaria,si,no,no,con mascotas,cocinar,no,si,si,no,relajada,pop,no,casa,no
2086,noche,madrugador,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,si,relajada,clasica,si,casa,si
2087,noche,nocturno,universitaria,no,si,si,con mascotas,cocinar,si,si,si,si,relajada,clasica,si,casa,si
2088,noche,nocturno,primaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,si
2089,mañana,nocturno,primaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
2090,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
2091,mañana,madrugador,primaria,si,no,no,con mascotas,pedir comida,no,si,no,no,ordenada,rock,no,casa,no
2092,noche,nocturno,universitaria,no,si,no,sin mascotas,cocinar,si,si,si,si,ordenada,clasica,si,salir,si
2093,mañana,nocturno,primaria,si,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,no,salir,no
2094,noche,madrugador,primaria,no,no,no,con mascotas,pedir comida,no,no,no,si,relajada,pop,si,casa,no
2095,mañana,madrugador,universitaria,si,si,no,sin mascotas,cocinar,no,no,no,si,ordenada,reggaeton,no,casa,no
2096,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2097,noche,madrugador,secundaria,si,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,salir,si
2098,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,pop,no,casa,no
2099,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,no,si,relajada,clasica,si,casa,si
2100,mañana,madrugador,secundaria,no,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,si,casa,no
2101,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,ordenada,pop,no,casa,si
2102,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,casa,no
2103,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,salir,si
2104,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
2105,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,no,si,si,no,ordenada,clasica,si,salir,si
2106,noche,madrugador,primaria,si,no,si,sin mascotas,pedir comida,si,no,no,no,ordenada,rock,no,casa,no
2107,mañana,nocturno,primaria,si,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,si,salir,si
2108,noche,madrugador,secundaria,no,no,no,con mascotas,pedir comida,si,si,si,si,ordenada,reggaeton,no,salir,si
2109,noche,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
2110,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,si,si,relajada,clasica,si,casa,no
2111,noche,nocturno,universitaria,no,no,no,sin mascotas,pedir comida,no,si,si,si,relajada,clasica,si,salir,si
2112,noche,nocturno,primaria,no,si,si,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,no,salir,si
2113,noche,madrugador,universitaria,no,si,no,con mascotas,cocinar,no,si,si,si,relajada,clasica,si,salir,si
2114,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,reggaeton,no,casa,no
2115,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,si,no,no,si,ordenada,rock,no,casa,no
2116,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,si,no,no,relajada,rock,no,casa,no
2117,mañana,madrugador,secundaria,si,no,si,sin mascotas,cocinar,no,si,si,no,relajada,pop,no,casa,no
2118,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,no,ordenada,reggaeton,si,casa,si
2119,mañana,nocturno,primaria,si,no,si,con mascotas,cocinar,no,no,si,no,ordenada,rock,no,salir,si
2120,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,si,salir,si
2121,noche,nocturno,universitaria,si,si,no,con mascotas,pedir comida,no,si,si,si,ordenada,clasica,no,salir,si
2122,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,no,relajada,reggaeton,si,salir,si
2123,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,si,no,relajada,rock,no,casa,no
2124,mañana,madrugador,universitaria,si,no,si,con mascotas,pedir comida,no,no,no,si,ordenada,pop,no,casa,no
2125,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,salir,si
2126,noche,madrugador,secundaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,no,salir,no
2127,mañana,nocturno,universitaria,si,si,si,con mascotas,cocinar,si,si,no,si,ordenada,rock,no,salir,no
2128,mañana,madrugador,universitaria,si,no,no,sin mascotas,pedir comida,no,no,no,no,relajada,pop,no,casa,no
2129,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,reggaeton,no,salir,si
2130,noche,nocturno,universitaria,si,no,si,sin mascotas,cocinar,si,no,si,no,ordenada,rock,no,casa,no
2131,noche,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
2132,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,si,si,ordenada,reggaeton,no,salir,si
2133,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,salir,no
2134,noche,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,no,no,si,relajada,reggaeton,no,salir,si
2135,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,si,si,relajada,reggaeton,si,casa,si
